Journal title,Journal URL,ISSN (print),EISSN,Publisher,Country,Languages,Review process,Subjects,Keywords,APC,Has other fees,APC amount,Weeks to publication,Source,Verified on,Notes,Evidence URL
PODIUM OF SPORT SCIENCES,https://revues.imist.ma/index.php/PODIUM,2820-7564,,hosted on revues.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,revues.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://revues.imist.ma/index.php/PODIUM/about
"Repères Littéraires, Langagiers et Artistiques",https://revues.imist.ma/index.php/Relilart,2737-8802,,hosted on revues.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,revues.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://revues.imist.ma/index.php/Relilart/about
Revue  Enseignements Transversaux,https://journals.imist.ma/index.php/ET,3085-4962,,hosted on journals.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,journals.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://journals.imist.ma/index.php/ET/about
Revue Brochures Educatives,https://journals.imist.ma/index.php/korasat,2508-9234,,hosted on journals.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,journals.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://journals.imist.ma/index.php/korasat/about
Revue de Management et Cultures,https://revues.imist.ma/index.php/REMAC,2550-6293,,hosted on revues.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,revues.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://revues.imist.ma/index.php/REMAC/about
"Revue des Études Juridiques, Spatiales et de Développement",https://journals.imist.ma/index.php/REJSD,3085-5519,,hosted on journals.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,journals.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://journals.imist.ma/index.php/REJSD/about
Revue Dossiers De Recherches en Économie Et Management Des Organisations,https://journals.imist.ma/index.php/DREMO,2550-3731,,hosted on journals.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,journals.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://journals.imist.ma/index.php/DREMO/about
Revue Etudes Langue et Littérature,https://journals.imist.ma/index.php/languelitterature,2351-8367,3085-5217,hosted on journals.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,journals.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://journals.imist.ma/index.php/languelitterature/about
Revue Filigranes,https://journals.imist.ma/index.php/filigranes,2820-7726,,hosted on journals.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,journals.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://journals.imist.ma/index.php/filigranes/about
"Revue interdisciplinaire en langues, communication, société et ingénierie de la formation",https://journals.imist.ma/index.php/CLEFS,3119-6535,,hosted on journals.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,journals.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://journals.imist.ma/index.php/CLEFS/about
"Revue Internationale de Management, Droit et Société",https://journals.imist.ma/index.php/irmals,3156-9641,,hosted on journals.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,journals.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://journals.imist.ma/index.php/irmals/about
Revue Linguistique et Référentiels Interculturels,https://revues.imist.ma/index.php/LIRI,2658-9206,,hosted on revues.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,revues.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://revues.imist.ma/index.php/LIRI/about
Revue Marocaine de Didactique et Pédagogie,https://revues.imist.ma/index.php/ReMaDiP,2737-8063,,hosted on revues.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,revues.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://revues.imist.ma/index.php/ReMaDiP/about
Revue Marocaine de Droit Public Financier,https://journals.imist.ma/index.php/RMDPF,3156-9676,,hosted on journals.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,journals.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://journals.imist.ma/index.php/RMDPF/about
Revue Marocaine de la Recherche Géographique,https://journals.imist.ma/index.php/RMRG,2737-8136,,hosted on journals.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,journals.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://journals.imist.ma/index.php/RMRG/about
Revue Marocaine de l’Évaluation et de la Recherche Educative,https://revues.imist.ma/index.php/RMERE,2550-5688,2658-9079,hosted on revues.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,revues.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://revues.imist.ma/index.php/RMERE/about
Revue Marocaine de Médecine Physique et de Réadaptation,https://journals.imist.ma/index.php/R2MPR,3009-5549,,hosted on journals.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,journals.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://journals.imist.ma/index.php/R2MPR/about
Revue Marocaine de Santé Publique,https://revues.imist.ma/index.php/RMSP,2351-8472,,hosted on revues.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,revues.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://revues.imist.ma/index.php/RMSP/about
Revue Marocaine des Sciences de Management,https://revues.imist.ma/index.php/RMSM,2028-8840,,hosted on revues.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,revues.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://revues.imist.ma/index.php/RMSM/about
Revue Marocaine d’Economie et de Droit Comparé,https://revues.imist.ma/index.php/RMEDC,0851-6073,,hosted on revues.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,revues.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://revues.imist.ma/index.php/RMEDC/about
Revue Takwine des études éducatives et des recherches de l'innovation pédagogique,https://journals.imist.ma/index.php/takwine,3009-5387,3009-5476,hosted on journals.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,journals.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://journals.imist.ma/index.php/takwine/about
Revue Territoire et développement,https://journals.imist.ma/index.php/TerritoireDeveloppement,3119-6284,,hosted on journals.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,journals.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://journals.imist.ma/index.php/TerritoireDeveloppement/about
Revue Turjumān,https://revues.imist.ma/index.php/Turjuman,1113-1292,,hosted on revues.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,revues.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://revues.imist.ma/index.php/Turjuman/about
RHAZES,https://revues.imist.ma/index.php/RHAZES,2605-6895,,hosted on revues.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,revues.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://revues.imist.ma/index.php/RHAZES/about
Soft Skills & Didactique des Langues,https://revues.imist.ma/index.php/SSDL,2737-8519,,hosted on revues.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,revues.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://revues.imist.ma/index.php/SSDL/about
"Tamyīz, Journal of History of Scientific and Philosophical Ideas",https://journals.imist.ma/index.php/Tamyiz,3009-5603,,hosted on journals.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,journals.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://journals.imist.ma/index.php/Tamyiz/about
"The International Journal of Arts, Culture and Technology",https://journals.imist.ma/index.php/IJACT,3119-6829,,hosted on journals.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,journals.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://journals.imist.ma/index.php/IJACT/about
The International Journal of Universal Design and Universal Design for Learning,https://journals.imist.ma/index.php/IJUDUDL,3119-6055,,hosted on journals.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,journals.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://journals.imist.ma/index.php/IJUDUDL/about
"The Policies, Administration and Markets Journal",https://journals.imist.ma/index.php/PAMJ,3085-5233,,hosted on journals.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,journals.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://journals.imist.ma/index.php/PAMJ/about
Transformations Éducatives,https://journals.imist.ma/index.php/Transformations-Educatives,3085-4547,,hosted on journals.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,journals.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://journals.imist.ma/index.php/Transformations-Educatives/about
النداء التربوي,https://revues.imist.ma/index.php/ANIDAE-TARBAWI,1113-9579,,hosted on revues.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,revues.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://revues.imist.ma/index.php/ANIDAE-TARBAWI/about
جسور,https://revues.imist.ma/index.php/Joussour,2458-7230,,hosted on revues.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,revues.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://revues.imist.ma/index.php/Joussour/about
مجلة الاستناد,https://revues.imist.ma/index.php/Istinad,2028-9979,3009-5247,hosted on revues.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,revues.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://revues.imist.ma/index.php/Istinad/about
مجلة الشؤون الجنائية والحكامة الأمنية,https://revues.imist.ma/index.php/RAPGS,2737-8233,,hosted on revues.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,revues.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://revues.imist.ma/index.php/RAPGS/about
مجلة العلوم القانونية,https://journals.imist.ma/index.php/LegalSciences,3119-6748,,hosted on journals.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,journals.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://journals.imist.ma/index.php/LegalSciences/about
مجلة كلية الشريعة-أكادير,https://journals.imist.ma/index.php/chariaa,3119-6217,,hosted on journals.imist.ma (IMIST / CNRST),Morocco,,Peer review (policy stated on the journal site),,,No,No,,,journals.imist.ma-auto,2026-08-27,Automatic checks passed: ISSN found · peer-review statement · no fee wording · articles in the last 2 years.,https://journals.imist.ma/index.php/chariaa/about
